IFNG_e,GMCSF_e,LPS_e,TNFa_e,IgG_e,IL1B_e,Adenosine_e,IL6_e,IL4_e,IL10_e,EGFR_e,IFNb_e,IL12_e
IFNG,1,0,0,0,0,0,0,0,0,0,0,0,0
GMCSF,0,1,0,0,0,0,0,0,0,0,0,0,0
IFNG-GMCSF,1,1,0,0,0,0,0,0,0,0,0,0,0
LPS,0,0,1,0,0,0,0,0,0,0,0,0,0
IFNG-LPS,1,0,1,0,0,0,0,0,0,0,0,0,0
GMCSF-LPS,0,1,1,0,0,0,0,0,0,0,0,0,0
IFNG-GMCSF-LPS,1,1,1,0,0,0,0,0,0,0,0,0,0
TNFa,0,0,0,1,0,0,0,0,0,0,0,0,0
IFNG-TNFa,1,0,0,1,0,0,0,0,0,0,0,0,0
GMCSF-TNFa,0,1,0,1,0,0,0,0,0,0,0,0,0
IFNG-GMCSF-TNFa,1,1,0,1,0,0,0,0,0,0,0,0,0
LPS-TNFa,0,0,1,1,0,0,0,0,0,0,0,0,0
IFNG-LPS-TNFa,1,0,1,1,0,0,0,0,0,0,0,0,0
GMCSF-LPS-TNFa,0,1,1,1,0,0,0,0,0,0,0,0,0
IFNG-GMCSF-LPS-TNFa,1,1,1,1,0,0,0,0,0,0,0,0,0
